stock,total_trades,profit_count,loss_count,win_rate,top_profit_ratios,top_loss_ratios,代號,股票名稱
1101.TW,12,7,5,58.333333333333336,"9.99%, 4.52%, 2.53%","-5.31%, -4.53%, -4.03%",1101.TW,台泥
1102.TW,12,7,5,58.333333333333336,"5.68%, 3.96%, 2.84%","-3.45%, -1.74%, -1.35%",1102.TW,亞泥
1103.TW,17,6,11,35.294117647058826,"7.81%, 3.01%, 2.78%","-4.56%, -3.89%, -2.86%",1103.TW,嘉泥
1104.TW,11,7,4,63.63636363636363,"20.26%, 15.12%, 7.89%","-2.58%, -2.55%, -1.74%",1104.TW,環泥
1108.TW,13,7,6,53.84615384615385,"35.27%, 6.34%, 5.33%","-7.43%, -4.61%, -3.96%",1108.TW,幸福
1109.TW,16,7,9,43.75,"12.80%, 3.18%, 1.30%","-3.52%, -2.74%, -1.90%",1109.TW,信大
1110.TW,15,7,8,46.666666666666664,"8.65%, 6.12%, 6.03%","-9.79%, -7.48%, -4.17%",1110.TW,東泥
1201.TW,16,6,10,37.5,"2.70%, 2.41%, 0.76%","-6.07%, -2.25%, -2.18%",1201.TW,味全
1203.TW,16,6,10,37.5,"38.67%, 16.67%, 2.41%","-9.78%, -2.53%, -2.03%",1203.TW,味王
1210.TW,14,3,11,21.428571428571427,"21.84%, 8.10%, 5.19%","-5.88%, -4.16%, -3.52%",1210.TW,大成
1213.TW,22,10,12,45.45454545454545,"57.89%, 7.12%, 2.71%","-8.94%, -8.75%, -6.88%",1213.TW,大飲
1215.TW,13,7,6,53.84615384615385,"17.62%, 11.69%, 10.77%","-6.45%, -5.24%, -4.47%",1215.TW,卜蜂
1216.TW,11,9,2,81.81818181818183,"6.66%, 4.14%, 4.05%","-3.56%, -2.64%",1216.TW,統一
1217.TW,15,5,10,33.33333333333333,"21.95%, 13.97%, 3.64%","-7.56%, -6.86%, -3.81%",1217.TW,愛之味
1218.TW,16,3,13,18.75,"16.74%, 11.45%, 1.99%","-19.55%, -7.34%, -7.18%",1218.TW,泰山
1219.TW,16,3,13,18.75,"8.35%, 1.51%, 0.98%","-4.19%, -3.26%, -2.57%",1219.TW,福壽
1220.TW,11,6,5,54.54545454545454,"10.92%, 6.21%, 3.99%","-5.44%, -2.43%, -1.02%",1220.TW,台榮
1225.TW,11,6,5,54.54545454545454,"154.95%, 8.45%, 6.62%","-4.50%, -2.11%, -2.00%",1225.TW,福懋油
1227.TW,12,5,7,41.66666666666667,"6.10%, 1.71%, 0.25%","-3.01%, -1.94%, -1.58%",1227.TW,佳格
1229.TW,14,4,10,28.57142857142857,"35.14%, 6.65%, 2.31%","-15.47%, -5.37%, -3.67%",1229.TW,聯華
1231.TW,12,5,7,41.66666666666667,"32.42%, 27.06%, 10.87%","-9.40%, -6.05%, -5.33%",1231.TW,聯華食
1232.TW,14,10,4,71.42857142857143,"6.13%, 2.46%, 2.09%","-3.77%, -2.06%, -1.59%",1232.TW,大統益
1233.TW,11,4,7,36.36363636363637,"8.15%, 5.65%, 4.94%","-4.14%, -2.72%, -2.28%",1233.TW,天仁
1234.TW,15,5,10,33.33333333333333,"23.17%, 7.63%, 3.76%","-1.88%, -1.13%, -1.05%",1234.TW,黑松
1235.TW,10,6,4,60.0,"77.62%, 49.28%, 28.79%","-2.93%, -1.14%, -0.73%",1235.TW,興泰
1236.TW,17,5,12,29.411764705882355,"6.51%, 6.43%, 4.93%","-10.15%, -6.99%, -6.12%",1236.TW,宏亞
1256.TW,12,3,9,25.0,"17.02%, 14.83%, 0.75%","-22.38%, -11.04%, -8.03%",1256.TW,鮮活果汁-KY
1301.TW,13,3,10,23.076923076923077,"3.54%, 2.33%, 0.11%","-12.62%, -12.07%, -8.84%",1301.TW,台塑
1303.TW,14,3,11,21.428571428571427,"4.35%, 1.14%, 0.45%","-11.63%, -9.43%, -8.22%",1303.TW,南亞
1304.TW,16,2,14,12.5,"18.25%, 0.28%","-13.67%, -7.06%, -6.47%",1304.TW,台聚
1305.TW,13,2,11,15.384615384615385,"33.57%, 0.21%","-11.40%, -10.67%, -8.53%",1305.TW,華夏
1307.TW,14,7,7,50.0,"41.61%, 19.73%, 6.44%","-4.61%, -2.83%, -2.66%",1307.TW,三芳
1308.TW,14,3,11,21.428571428571427,"10.15%, 6.33%, 0.54%","-9.84%, -8.97%, -6.89%",1308.TW,亞聚
1309.TW,17,0,17,0.0,,"-17.48%, -11.11%, -11.07%",1309.TW,台達化
1310.TW,13,3,10,23.076923076923077,"15.79%, 1.41%, 0.63%","-9.73%, -6.48%, -6.20%",1310.TW,台苯
1312.TW,15,3,12,20.0,"4.99%, 2.95%, 0.26%","-11.17%, -10.07%, -8.42%",1312.TW,國喬
1313.TW,13,5,8,38.46153846153847,"8.70%, 5.65%, 3.86%","-8.73%, -7.29%, -6.76%",1313.TW,聯成
1314.TW,16,5,11,31.25,"5.15%, 2.71%, 1.00%","-8.92%, -8.02%, -4.55%",1314.TW,中石化
1315.TW,12,6,6,50.0,"3.84%, 3.54%, 3.22%","-2.13%, -1.83%, -1.53%",1315.TW,達新
1316.TW,15,5,10,33.33333333333333,"38.68%, 18.47%, 6.72%","-17.15%, -11.65%, -9.68%",1316.TW,上曜
1319.TW,13,6,7,46.15384615384615,"73.22%, 41.22%, 41.12%","-13.14%, -10.16%, -6.14%",1319.TW,東陽
1321.TW,12,5,7,41.66666666666667,"15.32%, 8.04%, 3.05%","-10.38%, -4.53%, -2.59%",1321.TW,大洋
1323.TW,13,2,11,15.384615384615385,"0.65%, 0.00%","-3.69%, -2.98%, -1.74%",1323.TW,永裕
1324.TW,17,6,11,35.294117647058826,"59.25%, 3.20%, 3.10%","-11.11%, -6.36%, -6.15%",1324.TW,地球
1325.TW,12,4,8,33.33333333333333,"68.07%, 10.73%, 8.73%","-12.95%, -11.30%, -1.76%",1325.TW,恆大
1326.TW,18,3,15,16.666666666666664,"3.83%, 1.75%, 1.60%","-10.82%, -8.73%, -7.77%",1326.TW,台化
1337.TW,15,4,11,26.666666666666668,"18.62%, 13.37%, 4.37%","-10.35%, -7.14%, -5.78%",1337.TW,再生-KY
1338.TW,13,3,10,23.076923076923077,"11.11%, 1.96%, 1.56%","-8.71%, -5.60%, -5.55%",1338.TW,廣華-KY
1339.TW,13,9,4,69.23076923076923,"41.30%, 15.62%, 9.73%","-5.26%, -1.89%, -1.02%",1339.TW,昭輝
1340.TW,14,4,10,28.57142857142857,"18.83%, 2.94%, 1.49%","-15.04%, -4.25%, -4.05%",1340.TW,勝悅-KY
1341.TW,15,8,7,53.333333333333336,"7.55%, 4.70%, 3.33%","-2.93%, -2.76%, -2.11%",1341.TW,富林-KY
1342.TW,13,7,6,53.84615384615385,"29.36%, 13.45%, 5.14%","-12.89%, -9.52%, -8.46%",1342.TW,八貫
