datetime,action,price,size,value,commission
2022-02-23,Buy,92.42391495477585,5000,462119.57477387926,658.520394052778
2022-03-08,Sell,89.77059936523438,-5000,462119.57477387926,639.6155204772949
2022-03-28,Buy,93.30836011778634,5000,466541.80058893166,664.8220658392277
2022-04-15,Sell,91.53947922789935,-5000,466541.80058893166,652.2187894987828
2022-05-16,Buy,91.98169996635765,5000,459908.49983178824,655.3696122602983
2022-06-28,Sell,98.61499312945774,-5000,459908.49983178824,702.6318260473864
2022-07-26,Buy,100.4470443725586,5000,502235.22186279297,715.68519115448
2022-09-02,Sell,100.44705015670421,-5000,502235.22186279297,715.6852323665174
2022-12-06,Buy,96.72678767824637,5000,483633.9383912318,689.1783622075054
2022-12-21,Sell,93.93658836364746,-5000,483633.9383912318,669.2981920909881
2023-02-10,Buy,94.40161895751953,5000,472008.09478759766,672.6115350723267
2023-05-22,Sell,95.33168977904089,-5000,472008.09478759766,679.2382896756664
2023-06-02,Buy,100.9120769853945,5000,504560.3849269725,718.9985485209359
2023-08-21,Sell,103.83750613230579,-5000,504560.3849269725,739.8422311926788
2023-10-23,Buy,99.45000309730644,5000,497250.0154865322,708.5812720683084
2023-10-25,Sell,95.84250449055378,-5000,497250.0154865322,682.8778444951956
2023-11-23,Buy,99.9375015409122,5000,499687.507704561,712.0546984789994
2024-01-16,Sell,97.30500297546386,-5000,499687.507704561,693.29814620018
2024-02-16,Buy,98.47500151836226,5000,492375.0075918113,701.6343858183311
2024-07-30,Sell,190.5,-5000,492375.0075918113,1357.3125
2024-09-30,Buy,190.0,5000,950000.0,1353.75
2024-11-25,Sell,206.0,-5000,950000.0,1467.75
